runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.00160939,1248,1248,1204,1204,1,0,0.00160939,0,13199.9,1338,3405,37,20,0.00541217,LNS(PP;PP),./data/den312d/scen-random/den312d-random-1.scen
0.00293026,2705,2705,2612,2612,1,0,0.00293026,0,27899.7,3148,8442,19,50,0.00908553,LNS(PP;PP),./data/den312d/scen-random/den312d-random-1.scen
0.0102652,5942,5942,5313,5313,1,0,0.0102652,0,188694,10612,23969,917,100,0.0190993,LNS(PP;PP),./data/den312d/scen-random/den312d-random-1.scen
3.7412,65686,65686,26592,26592,1,0,3.7412,0,1.15819e+07,4666939,2052025,3664623,573,0.0917218,LNS(PP;PP),./data/den312d/scen-random/den312d-random-1.scen
