runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.000614094,506,506,455,455,1,0,0.000614094,0,15300,513,1425,2,20,0.00225951,LNS(PP;PP),./data/empty-32-32/scen-random/empty-32-32-random-1.scen
0.00147325,1080,1080,961,961,1,0,0.00147325,0,35699.8,1189,3246,0,50,0.00575208,LNS(PP;PP),./data/empty-32-32/scen-random/empty-32-32-random-1.scen
0.00314156,2337,2337,2128,2128,1,0,0.00314156,0,62699.3,3122,8483,37,100,0.00812672,LNS(PP;PP),./data/empty-32-32/scen-random/empty-32-32-random-1.scen
0.919389,18937,18937,10657,10657,1,0,0.919389,0,2.47639e+06,726140,1283542,98036,1139,0.0393885,LNS(PP;PP),./data/empty-32-32/scen-random/empty-32-32-random-1.scen
